,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,meulaboh,11.0,ID,1570336132.0,78.0,4.14,96.13,78.28,6.71
1,barrow,31.0,AR,1570336132.0,88.0,-38.31,-60.23,39.62,5.66
3,nhulunbuy,40.0,AU,1570336133.0,55.0,-12.18,136.78,86.0,12.75
4,lesnyye polyany,90.0,RU,1570336133.0,86.0,55.97,37.87,39.2,8.95
5,ronne,90.0,FR,1570336133.0,100.0,48.45,0.83,55.4,6.93
6,bredasdorp,69.0,ZA,1570336133.0,87.0,-34.53,20.04,48.2,1.12
7,mar del plata,6.0,AR,1570336133.0,43.0,-46.43,-67.52,48.69,7.76
8,hermanus,100.0,ZA,1570336134.0,84.0,-34.42,19.24,55.0,13.06
9,hobart,75.0,AU,1570336087.0,72.0,-42.88,147.33,59.0,14.99
10,constitucion,80.0,MX,1570336134.0,72.0,23.99,-104.67,58.11,9.19
11,quelimane,40.0,MZ,1570336134.0,88.0,-17.88,36.89,69.8,2.24
12,east london,90.0,ZA,1570336134.0,100.0,-33.02,27.91,60.8,14.99
13,aksay,17.0,KZ,1570336134.0,30.0,51.17,53.01,48.08,9.22
14,kamaishi,40.0,JP,1570336134.0,56.0,39.28,141.86,68.0,14.99
15,pisco,75.0,PE,1570336135.0,82.0,-13.71,-76.2,63.0,31.14
16,apiai,86.0,BR,1570336135.0,93.0,-24.51,-48.84,63.96,4.45
17,ushuaia,0.0,AR,1570336039.0,85.0,-54.81,-68.31,37.4,5.82
18,rikitea,100.0,PF,1570336135.0,82.0,-23.12,-134.97,72.06,23.06
19,kapaa,1.0,US,1570335961.0,69.0,22.08,-159.32,82.4,12.75
20,grindavik,75.0,IS,1570336135.0,100.0,63.84,-22.43,48.2,17.22
21,cape town,75.0,ZA,1570335900.0,93.0,-33.93,18.42,59.0,6.93
23,tecoanapa,75.0,MX,1570336136.0,78.0,16.99,-99.26,82.4,3.36
24,tasiilaq,100.0,GL,1570336136.0,75.0,65.61,-37.64,42.8,26.4
25,albany,75.0,US,1570336136.0,75.0,42.65,-73.75,45.0,4.7
27,tarazona,33.0,ES,1570336136.0,71.0,41.91,-1.72,60.8,12.75
28,butaritari,0.0,KI,1570336137.0,63.0,3.07,172.79,84.98,4.63
31,jamestown,0.0,AU,1570336137.0,42.0,-33.21,138.6,70.76,16.84
32,vaini,75.0,IN,1570336137.0,83.0,15.34,74.49,73.4,9.17
33,port hardy,20.0,CA,1570336137.0,93.0,50.7,-127.42,46.4,2.24
34,toma,81.0,BF,1570336137.0,60.0,12.76,-2.9,80.73,5.35
35,chapais,20.0,CA,1570336138.0,80.0,49.78,-74.86,39.2,4.7
36,nikolskoye,20.0,RU,1570336138.0,92.0,59.7,30.79,33.01,4.47
38,arraial do cabo,0.0,BR,1570336138.0,85.0,-22.97,-42.02,71.17,14.52
39,atuona,0.0,PF,1570336138.0,73.0,-9.8,-139.03,80.1,13.44
41,mataura,100.0,NZ,1570336139.0,75.0,-46.19,168.86,53.01,10.0
42,busselton,100.0,AU,1570336139.0,50.0,-33.64,115.35,64.99,5.01
43,vao,97.0,EE,1570336139.0,75.0,59.1,26.19,36.38,6.51
44,oranjemund,100.0,ZA,1570336139.0,84.0,-28.55,16.43,57.51,12.39
45,pangnirtung,0.0,CA,1570336139.0,43.0,66.15,-65.72,14.13,5.64
46,cockburn town,100.0,TC,1570336139.0,72.0,21.46,-71.14,82.5,5.14
47,thompson,90.0,CA,1570336140.0,93.0,55.74,-97.86,41.0,2.24
48,aksarka,100.0,RU,1570336104.0,99.0,66.56,67.8,35.64,10.83
49,mackay,75.0,CA,1570336140.0,49.0,53.65,-115.58,48.2,14.99
50,victoria,40.0,BN,1570336140.0,62.0,5.28,115.24,91.4,8.05
51,esperance,90.0,AU,1570336140.0,59.0,-33.86,121.89,60.8,11.41
52,puerto ayora,0.0,EC,1570336140.0,96.0,-0.74,-90.35,64.99,4.0
53,port alfred,0.0,ZA,1570336141.0,87.0,-33.59,26.89,64.99,8.01
54,craig,90.0,US,1570336141.0,29.0,40.52,-107.55,46.4,3.36
55,port elizabeth,90.0,US,1570336141.0,71.0,39.31,-74.98,64.0,3.36
56,harindanga,75.0,IN,1570336141.0,84.0,22.04,88.32,87.8,4.7
57,punta arenas,75.0,CL,1570336141.0,87.0,-53.16,-70.91,42.8,6.93
58,torbat-e jam,0.0,IR,1570336141.0,38.0,35.24,60.63,49.56,0.89
59,geraldton,90.0,CA,1570336142.0,93.0,49.72,-86.95,46.4,13.87
60,khatanga,27.0,RU,1570336142.0,78.0,71.98,102.47,20.99,5.41
61,torbay,40.0,CA,1570336142.0,86.0,47.66,-52.73,39.99,18.34
62,klaksvik,74.0,FO,1570336142.0,87.0,62.23,-6.59,50.0,29.97
63,college,90.0,US,1570336142.0,94.0,64.86,-147.8,33.8,10.29
64,fallon,1.0,US,1570336143.0,65.0,46.84,-105.12,46.0,13.87
65,chodavaram,40.0,IN,1570336143.0,74.0,17.44,81.78,86.0,8.05
66,kodiak,1.0,US,1570336143.0,87.0,39.95,-94.76,53.01,5.64
67,soderhamn,5.0,SE,1570336143.0,81.0,61.3,17.06,26.01,1.99
69,ribeira grande,70.0,PT,1570336143.0,94.0,38.52,-28.7,71.48,19.33
70,tuatapere,91.0,NZ,1570336143.0,75.0,-46.13,167.69,53.01,10.0
71,kurchum,0.0,KZ,1570336144.0,43.0,48.57,83.65,55.59,1.79
73,monroe,75.0,US,1570336144.0,87.0,41.91,-83.4,59.0,5.82
74,sapele,97.0,NG,1570336144.0,97.0,5.89,5.68,73.68,3.23
75,cabo san lucas,5.0,MX,1570335920.0,69.0,22.89,-109.91,80.6,4.7
76,komsomolskiy,100.0,RU,1570336144.0,97.0,67.55,63.78,34.74,13.62
77,hilo,90.0,US,1570336145.0,61.0,19.71,-155.08,82.4,4.7
78,castro,90.0,CL,1570336145.0,100.0,-42.48,-73.76,44.6,13.87
79,gulabpura,0.0,IN,1570336145.0,55.0,25.91,74.66,78.97,5.31
80,puerto cabezas,100.0,NI,1570336145.0,92.0,14.04,-83.39,77.02,2.3
81,lukulu,30.0,ZM,1570336145.0,50.0,-14.38,23.24,71.3,6.93
83,bachaquero,43.0,VE,1570336145.0,62.0,9.96,-71.12,84.93,5.32
84,praia da vitoria,75.0,PT,1570336146.0,88.0,38.73,-27.07,75.2,21.92
85,margate,75.0,AU,1570336021.0,72.0,-43.03,147.26,59.0,14.99
86,chuy,93.0,UY,1570336146.0,80.0,-33.69,-53.46,51.68,6.33
87,norman wells,90.0,CA,1570336146.0,96.0,65.28,-126.83,33.8,12.75
88,hambantota,75.0,LK,1570336146.0,100.0,6.12,81.12,77.0,2.24
89,bisira,100.0,PA,1570336146.0,95.0,8.52,-81.71,69.16,2.88
90,ixtapa,75.0,MX,1570336147.0,83.0,20.71,-105.21,84.0,3.8
91,qaanaaq,100.0,GL,1570336147.0,79.0,77.48,-69.36,23.1,3.04
93,leiyang,100.0,CN,1570336147.0,68.0,26.42,112.85,68.87,4.45
95,lucea,20.0,JM,1570336147.0,69.0,18.44,-78.17,78.8,5.82
96,duldurga,85.0,RU,1570336148.0,49.0,50.67,113.59,45.94,15.99
97,sorland,100.0,NO,1570336148.0,65.0,67.67,12.69,45.27,12.41
98,avarua,100.0,CK,1570336148.0,49.0,-21.21,-159.78,69.8,4.7
99,rocha,100.0,UY,1570336148.0,91.0,-34.48,-54.34,44.17,1.34
100,chokurdakh,43.0,RU,1570336148.0,87.0,70.62,147.9,18.94,7.19
101,dali,100.0,CN,1570336148.0,89.0,34.79,109.94,48.96,4.56
102,touros,40.0,BR,1570336149.0,83.0,-5.2,-35.46,75.2,5.82
103,kurayoshi,75.0,JP,1570336149.0,64.0,35.43,133.83,71.6,19.46
104,almaznyy,40.0,RU,1570336149.0,82.0,48.03,40.04,60.8,20.13
105,bethel,1.0,US,1570336149.0,69.0,60.79,-161.76,39.2,16.11
106,krokeai,40.0,GR,1570336149.0,87.0,36.88,22.55,66.99,5.7
107,saskylakh,88.0,RU,1570336150.0,93.0,71.97,114.09,18.18,3.38
108,lagoa,1.0,PT,1570336150.0,82.0,37.14,-8.45,61.0,1.12
109,saint-ambroise,5.0,CA,1570336150.0,86.0,48.56,-71.32,35.6,3.56
110,manono,71.0,CD,1570336150.0,63.0,-7.3,27.4,74.86,4.07
111,saquarema,0.0,BR,1570336147.0,94.0,-22.93,-42.51,77.0,2.24
112,pevek,100.0,RU,1570336150.0,81.0,69.7,170.27,28.91,16.55
113,serenje,0.0,ZM,1570336151.0,68.0,-13.23,30.22,63.85,5.12
114,andra,90.0,RU,1570336151.0,82.0,62.52,65.89,49.68,11.41
115,banda aceh,100.0,ID,1570335903.0,75.0,5.56,95.32,81.13,7.43
116,isangel,75.0,VU,1570336151.0,65.0,-19.55,169.27,78.8,6.93
117,yangjiang,0.0,CN,1570336151.0,53.0,21.85,111.96,90.0,6.44
118,santa maria del oro,100.0,MX,1570336151.0,76.0,25.95,-105.37,66.96,1.86
119,roald,0.0,NO,1570336151.0,86.0,62.58,6.12,37.4,10.29
120,chara,20.0,GR,1570336152.0,67.0,39.42,22.43,59.0,5.82
121,aleksandrov gay,100.0,RU,1570336152.0,37.0,50.14,48.57,53.93,11.72
122,cherskiy,100.0,RU,1570336152.0,90.0,68.75,161.3,20.32,10.22
123,longyearbyen,75.0,NO,1570336152.0,74.0,78.22,15.63,35.6,3.36
124,jacksonville,75.0,US,1570336152.0,78.0,30.33,-81.66,79.0,6.93
125,ahipara,94.0,NZ,1570336153.0,83.0,-35.17,173.16,68.0,8.05
126,kulhudhuffushi,100.0,MV,1570336153.0,74.0,6.62,73.07,82.64,7.34
127,biltine,92.0,TD,1570336153.0,65.0,14.53,20.93,80.52,7.74
128,lagos,100.0,NG,1570336022.0,95.0,6.46,3.39,73.87,3.44
129,tigzirt,0.0,DZ,1570336153.0,35.0,36.57,4.2,62.64,1.45
130,coihueco,20.0,CL,1570336153.0,93.0,-36.63,-71.83,46.4,3.27
131,flinders,29.0,AU,1570336153.0,57.0,-34.58,150.85,77.0,6.93
132,gra liyia,20.0,GR,1570336154.0,77.0,35.02,25.68,68.0,6.93
134,airai,0.0,TL,1570336154.0,33.0,-8.93,125.41,82.23,9.31
135,namatanai,51.0,PG,1570336154.0,77.0,-3.66,152.44,81.54,8.41
136,namwala,0.0,ZM,1570336154.0,50.0,-15.75,26.45,64.17,5.28
137,teguise,40.0,ES,1570336154.0,78.0,29.06,-13.56,71.6,16.11
